Taxonomy_Substrate_Functional_Group,MCR_Group,Course_FG,Functional_Group,Macroalgae_Group,Algal_Form,Family,Notes,,,,,
Ralfsia sp.,CCA,CCA,CCA,CCA,CCA,Ralfsiaceae,,,,,,
Rhipidosiphon javensis,Macroalgae,Macroalgae,Macroalgae,Green Algae,Calcified,Udoteaceae,,,,,,
Sand,Sand,Substrate,Substrate,,,,,,,,,
Sarcophyton sp.,Scleractinian Corals,Coral,Coral,,,,,,,,,
Sargassum pacificum,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Coriaceous,Sargassaceae,,,,,,
Shell Debris,Shell Debris,Substrate,Substrate,,,,,,,,,
Soft Coral,Soft Coral,Coral,Coral,,,,,,,,,
Sponge,Sessile Invertebrates,Sessile Invertebrates,Sessile Invertebrates,,,,,,,,,
Sporolithon sp.,CCA,CCA,CCA,CCA,CCA,Sporolithales,Red Algae,,,,,
Symploca hydnoides,Cyanophyta,Cyanophyta,Macroalgae,Cyanophyta,Microalgae,Microcoleaceae,Cyanobacteria,,,,,
Tridacna sp.,Sessile Invertebrates,Sessile Invertebrates,Sessile Invertebrates,,,,,,,,,
Turbinaria ornata,Macroalgae,Macroalgae,Macroalgae,Brown Algae,Coriaceous,Sargassaceae,,,,,,
Valonia aegagropila,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Valoniaceae,,,,,,
Valonia ventricosa,Macroalgae,Macroalgae,Macroalgae,Green Algae,Vesicular,Valoniaceae,,,,,,
